tower_id,rectifier_alarms_30d,battery_sag_events_30d,door_open_hours_30d
MY_N8646761662,1.69,1.0,1.7
MY_N8646761663,4.18,2.31,3.69
MY_N8645028382,13.89,2.26,12.68
MY_N8979761302,1.6,2.35,1.81
MY_N9040090261,3.12,14.13,8.26
MY_N3720847447,15.83,13.33,3.46
MY_N13013877873,10.84,12.2,8.03
MY_N9040032180,0.0,0.05,1.1
MY_N9040032179,8.0,13.18,6.29
MY_N13456366477,6.94,16.79,16.17
MY_N8982897335,1.6,5.5,1.06
MY_N3902995316,2.55,7.49,4.08
MY_N13526011249,9.22,22.73,6.39
MY_N8987661324,31.91,71.36,15.01
MY_N13517883535,34.8,33.24,11.89
MY_N3902995314,30.03,4.53,1.87
MY_N3902995315,0.85,1.51,6.39
MY_N13331200714,23.11,13.16,8.61
MY_N8785281387,13.88,4.93,5.49
MY_N13331200716,27.14,15.03,2.35
MY_N13526994647,2.72,0.3,0.63
MY_N10701796645,0.86,2.51,6.35
MY_N8992708257,6.8,8.15,2.18
MY_N12062187762,2.92,18.65,5.03
MY_N3902995313,3.29,1.03,2.93
MY_N3902995312,5.02,1.27,3.37
MY_W1497883954,4.36,8.67,11.89
MY_N9040072040,3.77,4.46,5.49
MY_N13331200717,47.42,12.14,4.02
MY_N13331200718,7.22,8.09,6.0
MY_N8998441828,2.59,3.24,7.82
MY_N8998441829,2.39,3.15,0.79
MY_N3902995311,14.77,4.63,2.98
MY_W843347331,1.48,1.07,1.32
MY_W1304274095,4.06,5.18,6.62
MY_N3902995310,25.11,15.39,5.8
MY_N9003249367,22.34,22.71,12.79
MY_N9003249366,9.07,4.03,7.92
MY_N9003249365,29.41,26.99,8.51
MY_N8762031836,9.54,18.2,10.14
MY_N3902995309,18.81,11.24,4.8
MY_N9004704904,2.15,2.4,1.69
MY_N9004704891,6.1,16.75,24.32
MY_N5991600704,0.27,0.98,2.23
MY_W1270085205,0.0,0.0,0.27
MY_W1270085203,13.97,29.23,3.67
MY_W1270085213,2.31,2.39,1.66
MY_W1270085208,0.35,0.19,0.0
MY_N3902995303,2.59,4.58,3.64
MY_W1098994137,1.61,0.0,1.9
MY_N8805785687,18.08,6.7,10.96
MY_N3902995302,7.75,6.61,8.79
MY_N8806058356,13.04,31.92,14.5
MY_N9040016373,6.91,0.91,4.44
MY_N3902995301,19.29,40.53,26.51
MY_N9066954157,6.32,17.57,4.4
MY_N13481076521,0.28,0.02,0.85
MY_N13406960825,0.0,1.27,1.83
MY_N9084071195,22.79,26.59,8.46
MY_N13651261629,4.11,2.45,7.09
MY_N13522010386,5.5,3.07,6.2
MY_N3902995275,23.78,26.82,4.64
MY_N13415562182,1.2,3.07,0.05
MY_N13415595016,1.52,4.09,3.77
MY_N13415562181,4.54,1.94,0.91
MY_N13415562180,5.01,4.77,1.26
MY_N5365310004,1.42,1.76,0.53
MY_N8176878231,10.78,13.87,5.84
MY_N6643210358,0.83,1.72,6.61
MY_N11151660426,17.0,24.43,4.46
MY_W1201224318,4.7,2.43,8.48
MY_W1267147816,0.53,1.4,9.22
MY_W1267147818,0.0,2.47,1.32
MY_W1267147817,0.47,2.84,3.66
MY_W1267147815,14.25,22.47,11.75
MY_W1267147829,6.35,5.25,3.06
MY_W1267147827,1.94,15.17,3.77
MY_W1267147830,3.17,1.13,3.57
MY_W1267147836,6.78,2.9,4.46
MY_N11139114232,0.49,1.15,2.97
MY_N11139114233,0.12,0.07,3.66
MY_W1267147841,0.37,0.11,2.84
MY_N13617864927,11.37,9.75,3.58
MY_W1267064693,10.7,10.4,5.79
MY_N13430456062,0.33,0.0,0.91
MY_N3902995238,27.73,9.17,4.66
MY_N8614668705,5.32,2.13,5.49
MY_W1304210537,4.76,16.38,1.77
MY_W1304210538,7.84,2.84,3.39
MY_W1304210539,3.04,5.28,5.32
MY_W1304210547,3.13,3.88,4.29
MY_W1304210549,1.65,0.0,1.75
MY_W1304967763,2.43,2.34,3.04
MY_N8191059241,16.08,21.59,13.52
MY_N13103284367,38.89,20.52,7.57
MY_N8439185733,8.95,28.14,6.34
MY_N13165619831,3.75,5.21,1.81
MY_N7848117003,6.11,5.14,4.19
MY_N8422298542,19.12,14.12,23.45
MY_N2894780935,28.51,21.4,7.94
MY_N8617095383,0.0,0.0,4.24
MY_N8637257819,18.31,5.88,3.2
MY_N8418750930,13.89,7.53,2.69
MY_N8637709581,0.81,1.18,2.2
MY_N8621891632,0.0,0.79,3.32
MY_W1303810175,3.66,7.74,1.93
MY_W1303810174,4.8,4.34,3.26
MY_W1303814691,6.0,8.43,21.14
MY_W1303814692,4.91,1.66,3.93
MY_W1303814690,7.26,12.93,4.47
MY_W1303814689,8.05,8.93,4.03
MY_N6700401660,2.61,2.78,4.18
MY_N3902995237,2.12,3.07,0.21
MY_N3902995230,1.17,0.81,2.24
MY_N3902995227,10.52,5.05,3.1
MY_W229952243,9.48,2.74,3.49
MY_N9038753536,0.07,4.62,2.71
MY_N4553240899,12.16,12.71,9.19
MY_N4553240947,8.06,10.37,11.63
MY_N4540536734,1.56,4.41,6.08
MY_N4540518868,8.13,5.14,8.99
MY_N9040373402,2.37,3.91,1.91
MY_N9040090263,0.39,1.65,3.37
MY_N11158439300,10.49,6.12,10.36
MY_N8194411065,1.8,1.05,2.76
MY_N8194411066,0.0,8.97,2.78
MY_N8194478063,0.0,0.0,0.93
MY_N4540518856,1.29,6.16,8.5
MY_N8194554171,0.57,0.0,2.63
MY_N8194311012,3.09,4.57,9.16
MY_N8194411113,0.6,0.08,1.04
MY_N8296464154,0.0,2.15,2.64
MY_N4540518855,20.47,17.96,11.59
MY_N8296464134,6.84,6.79,2.5
MY_N8242471252,0.0,0.0,1.53
MY_N8242031174,0.82,0.0,1.34
MY_N8194880382,0.06,0.04,1.47
MY_N8194310997,0.0,0.0,1.5
MY_N5046482112,0.0,0.45,1.7
MY_N9040477852,1.56,3.93,8.39
MY_N8242137991,0.18,1.02,2.54
MY_N3902995226,0.0,0.0,2.12
MY_N8248283073,1.89,1.34,3.84
MY_N5249581791,5.88,12.61,3.37
MY_N7010113806,4.98,2.23,1.97
MY_N9038753537,2.14,1.07,3.72
MY_N10290743704,0.19,0.71,3.49
MY_N13142317645,11.7,50.37,13.05
MY_N8850585799,5.71,21.65,3.7
MY_N8297204273,0.15,0.0,0.77
MY_N8297308060,3.89,5.09,13.61
MY_N8297308061,0.0,4.8,3.72
MY_N9040373401,2.56,5.5,7.43
MY_N8300544984,0.31,0.0,1.82
MY_N8300543972,0.33,0.85,2.04
MY_N8254539319,0.0,0.0,0.0
MY_N9038719772,0.0,0.62,4.15
MY_N9038719774,0.0,0.0,0.03
MY_N9038719773,0.0,0.0,0.7
MY_N9038719827,0.0,0.0,0.0
MY_N9038719771,0.7,0.0,3.7
MY_N11388841309,0.0,0.0,0.0
MY_N11388880572,0.0,0.0,0.3
MY_N8254392355,0.0,0.51,0.58
MY_N10948802708,0.0,0.0,2.57
MY_N11388862435,0.0,0.0,0.34
MY_N11388862434,27.17,16.3,3.13
MY_N11360752509,0.0,0.0,0.07
MY_N13325808685,1.91,1.49,2.8
MY_N11360752510,0.0,0.0,0.0
MY_N9040072038,1.19,0.36,5.06
MY_N9040477851,0.76,0.0,0.0
MY_N9040477850,2.86,7.45,5.41
MY_N9040016330,16.63,11.83,8.71
MY_N10948101724,8.61,2.41,0.63
MY_N8302956903,0.0,0.0,0.27
MY_N8302956904,0.0,0.0,0.0
MY_N10948101740,1.28,0.0,0.0
MY_N8302956902,0.0,0.0,0.0
MY_N8302956901,0.0,0.0,1.89
MY_N8302956900,0.0,0.0,4.17
MY_N10948101726,7.04,2.81,7.58
MY_N10948101725,0.72,0.39,0.94
MY_N9040016331,0.13,0.0,4.36
MY_W1388820991,9.45,18.98,14.31
MY_N9040431790,3.4,7.69,2.91
MY_N8387910052,0.93,4.92,1.64
MY_W1315843998,0.0,1.38,0.6
MY_N8182722420,3.75,5.54,5.8
MY_N8387123936,7.59,5.64,3.35
MY_N11167076406,9.74,23.45,7.12
MY_N8381293209,0.75,1.37,1.3
MY_N8381065572,8.45,2.88,1.51
MY_N9841737653,1.46,0.22,1.92
MY_N9040072039,1.7,2.54,1.6
MY_N8377840940,17.97,13.9,6.13
MY_N13722751040,4.6,5.15,14.36
MY_N11147435458,6.22,0.93,2.76
MY_W1387401029,5.79,8.69,3.2
MY_W446330609,2.27,5.01,1.79
MY_N12889290985,0.96,0.54,0.23
MY_N12889290986,0.0,0.0,0.43
MY_N12889290231,11.75,12.73,4.55
MY_W1450150668,6.59,1.87,11.29
MY_N13889784607,34.74,8.91,1.81
MY_N3623334350,3.05,7.58,3.34
MY_N3623367413,0.2,1.52,1.52
MY_N12773184677,19.21,16.24,6.79
MY_N3573581293,6.98,2.25,1.49
MY_N2782631993,3.44,8.43,8.8
MY_N13889774655,25.25,11.03,2.94
MY_N13889776578,1.03,0.05,2.18
MY_N13891743611,8.22,16.72,6.24
MY_N6745537235,30.39,11.87,11.39
MY_N6745537234,16.71,40.26,11.4
MY_N6745537233,27.91,13.64,6.3
MY_N6759131549,20.39,26.93,4.17
MY_N12548986934,13.0,22.39,8.24
MY_N6451638812,73.34,25.92,10.48
MY_N10802588447,23.79,18.69,9.38
MY_N10802588425,19.55,8.34,7.67
MY_N10801806749,23.41,18.43,6.83
MY_N5067194637,17.49,22.65,13.08
MY_N11526632808,7.9,5.81,5.94
MY_N6457937009,5.59,19.09,8.38
MY_N10746755999,2.36,0.41,6.48
MY_N10746755997,1.41,0.9,2.74
MY_N10746755998,0.47,6.25,2.04
MY_W1425495547,24.99,15.03,4.22
MY_N10780423481,16.0,8.94,5.33
MY_N5257595022,6.44,12.33,7.5
MY_N10771843285,8.67,12.08,17.44
MY_N11962284837,12.46,20.17,13.45
MY_N10780417393,4.84,7.5,8.72
MY_N9696620835,2.78,3.09,6.5
MY_N5063253063,5.5,4.02,3.03
MY_N6628565568,7.04,15.33,2.68
MY_N9810094393,3.76,2.43,4.54
MY_N14017237793,0.0,0.94,2.02
MY_N3765699308,8.35,2.21,3.53
MY_N3765699325,4.49,7.33,1.7
MY_N3765699324,22.97,21.4,12.3
MY_N3765691973,14.04,1.87,4.12
MY_N3765686551,5.92,9.37,7.72
MY_N12265504950,5.84,12.66,3.82
MY_N12265504949,2.88,2.89,4.98
MY_N13104827528,11.5,10.24,2.37
MY_N12266043339,28.21,21.95,5.74
MY_N4971032710,0.62,6.71,3.91
MY_N12270851329,16.11,48.44,3.22
MY_N11482095447,17.42,11.88,9.51
MY_N11484371222,23.25,66.74,11.53
MY_N12124802651,5.33,2.81,5.89
MY_N11482649670,4.12,1.82,8.33
MY_N12419607083,6.5,5.34,8.16
MY_N12120294219,4.69,4.7,4.52
MY_N12116945444,8.18,19.62,9.88
MY_N11730767539,0.0,0.0,1.99
MY_N12260551262,5.02,5.52,4.21
MY_N11463362309,2.09,1.63,4.38
MY_N11496601911,1.14,1.39,2.53
MY_N11496601910,0.68,0.1,4.88
MY_N11727753196,9.82,2.62,7.58
MY_N12084295135,12.52,14.23,6.43
MY_N12407437060,10.36,5.06,7.2
MY_N11794540712,4.36,7.11,5.45
MY_N12058759613,32.31,28.03,8.14
MY_N11496879857,0.86,1.4,0.42
MY_N12110472263,8.05,4.61,7.59
MY_N12238462274,5.73,3.1,1.06
MY_N12063268241,1.5,0.8,1.45
MY_N11795630828,2.79,0.94,8.1
MY_N11487000566,4.81,16.7,0.76
MY_N12273248580,2.21,1.63,3.06
MY_N11496907513,28.02,33.98,1.7
MY_N11584058118,1.43,2.59,7.18
MY_N12205012364,0.6,0.2,1.76
MY_N12408552579,0.24,7.49,2.08
MY_N12177011821,0.48,1.29,1.8
MY_N12177011820,1.61,1.55,2.48
MY_N12177011819,0.61,0.72,1.52
MY_N11875484220,16.53,6.26,10.66
MY_W1235093106,0.66,0.51,17.04
MY_N12177011818,0.0,0.41,0.4
MY_N12408785870,1.76,2.95,1.12
MY_N12121993477,3.14,2.15,3.81
MY_N12231992517,4.61,5.67,3.33
MY_N11502197115,6.89,1.26,4.31
MY_N11774742821,10.43,6.35,4.52
MY_N11774742770,14.69,9.87,4.25
MY_N12141554109,10.67,5.85,2.73
MY_N12222591751,2.44,1.54,0.66
MY_N11802478955,16.48,26.14,22.49
MY_N12222591771,2.83,5.54,2.34
MY_N12284563602,19.82,6.24,5.65
MY_N11653038151,9.71,5.0,4.48
MY_N12222591752,0.61,0.75,0.57
MY_N11465075859,8.72,1.23,1.15
MY_N12222591753,0.61,1.95,7.83
MY_N12112838716,2.39,2.69,1.61
MY_N12243059849,4.97,4.74,1.12
MY_N11528285260,1.29,2.83,3.57
MY_N11536997187,0.0,0.0,0.82
MY_N12105659133,5.44,5.27,2.53
MY_N12433988983,3.63,17.81,11.27
MY_N12284680509,0.0,1.43,1.38
MY_N12284680513,0.23,1.9,0.76
MY_N12513784874,0.0,0.38,2.14
MY_N11524986796,0.0,0.24,0.0
MY_N12103811729,4.96,8.46,0.7
MY_N12102882755,0.0,0.0,1.69
MY_N12001114536,4.22,5.34,4.4
MY_N12001114555,1.29,2.74,4.04
MY_N12273280525,0.08,0.0,0.95
MY_N12090303865,1.0,2.18,1.06
MY_N11875484221,10.85,10.33,3.33
MY_N12275922702,20.3,32.32,12.18
MY_N11494365614,23.05,8.56,5.49
MY_N11530928262,0.37,0.0,0.46
MY_N11513739731,9.36,5.88,5.21
MY_N11536997297,5.22,2.18,2.62
MY_N12146143720,4.6,12.45,4.85
MY_N11747587796,5.62,17.75,18.45
MY_N11478359637,11.52,12.11,8.38
MY_N11500414303,8.71,4.28,7.91
MY_N11806114326,16.81,5.88,12.32
MY_N11770524376,4.01,2.17,3.74
MY_N12117702098,10.3,4.54,5.51
MY_N12097503031,18.73,14.77,11.73
MY_N11755867459,24.22,8.6,3.45
MY_N12106117448,7.9,22.18,4.07
MY_N12312150904,14.94,4.99,2.41
MY_N12304257938,9.51,13.8,4.7
MY_N11475792788,1.31,0.62,6.49
MY_N12309364294,19.24,15.8,8.8
MY_N12040151716,8.77,9.88,5.35
MY_N11479281286,0.65,0.72,2.73
MY_N12309364295,31.35,48.57,4.88
MY_N12309364296,12.99,9.66,6.47
MY_N11815789148,13.45,11.78,2.55
MY_N12309364297,9.57,21.67,11.02
MY_N12135759497,34.25,20.4,4.24
MY_N11808712034,6.21,7.69,2.26
MY_N12160448277,1.06,1.45,20.15
MY_N12411576424,4.32,6.26,4.13
MY_N12093626517,3.43,5.52,4.21
MY_N12250265699,12.97,13.23,9.03
MY_N11479281285,4.89,3.25,1.44
MY_N12316486573,9.19,5.7,1.53
MY_N11610007739,6.75,4.65,5.48
MY_N12240441026,2.85,4.44,0.64
MY_N11556619144,10.67,20.8,11.45
MY_N12420165772,6.46,9.32,4.39
MY_N11584348427,6.66,4.28,2.16
MY_N11990327538,28.72,29.81,5.03
MY_N11470209272,14.27,6.07,2.14
MY_N12050962639,13.4,1.98,6.99
MY_N12035797862,2.1,2.92,5.53
MY_N12145362317,2.71,5.0,1.46
MY_N12118515279,10.05,5.08,6.38
MY_N12227780480,1.76,3.73,3.55
MY_N12035797853,12.47,10.0,3.71
MY_N6354464187,13.74,9.0,3.81
MY_N12035797852,14.99,8.09,5.99
MY_N12035797854,4.21,20.46,4.57
MY_N11581896101,5.67,3.39,1.73
MY_N12035797857,15.67,6.62,4.68
MY_N12035797856,5.08,5.73,3.52
MY_N12035797855,2.91,13.18,10.19
MY_N12128924931,0.67,3.96,6.18
MY_N11472433066,26.99,26.2,14.21
MY_N11608082001,4.5,0.47,7.54
MY_N11476096501,2.34,1.38,7.6
MY_N11659562128,8.56,36.91,13.1
MY_N11659562129,20.95,42.08,2.56
MY_N11659562130,17.91,31.78,3.92
MY_N11659562131,14.26,10.84,16.08
MY_N11659562132,1.12,0.16,7.0
MY_N11659562133,12.67,38.12,5.18
MY_N11659562141,14.95,15.82,13.87
MY_N11659562142,33.48,29.12,5.31
MY_N11875484227,3.14,12.18,7.77
MY_N12138116212,26.15,22.11,13.07
MY_N11493783227,8.1,6.1,5.2
MY_N11875484226,8.07,28.49,7.21
MY_N12109825595,2.56,9.17,2.15
MY_N12334436706,5.09,8.58,9.52
MY_N11875484222,0.95,0.17,0.26
MY_N12270341400,15.55,15.55,10.94
MY_N12132195205,0.18,0.77,1.75
MY_N12278677313,3.48,3.24,3.47
MY_N11991939583,16.85,5.63,2.33
MY_N12258694524,2.78,1.13,12.92
MY_N12227903176,9.46,5.32,11.93
MY_N12258461026,12.27,14.68,4.13
MY_N11463098096,8.36,6.63,3.79
MY_N11609644622,29.86,35.81,14.26
MY_N11875484225,9.1,2.96,1.22
MY_N12258444889,3.14,5.89,6.37
MY_N11787027806,7.02,8.7,7.61
MY_N11463098097,5.76,4.18,3.86
MY_N11637810092,12.54,9.45,7.07
MY_N11515263684,8.24,10.79,6.92
MY_N11515263700,3.78,1.89,2.88
MY_N11637810090,9.86,4.63,5.06
MY_N12270101746,1.64,0.26,1.02
MY_N12118428198,2.66,5.7,2.88
MY_N12097355159,9.54,19.56,2.83
MY_N12000683989,11.32,6.13,12.72
MY_N12270101729,0.04,1.62,5.4
MY_N11998923957,9.01,7.81,10.08
MY_N12118412113,7.73,12.73,12.85
MY_N12131514589,9.23,23.07,4.0
MY_N12131514594,19.38,8.58,7.48
MY_N12131514586,4.38,0.67,7.32
MY_N12131514588,5.93,7.35,4.29
MY_N12131514585,6.43,10.68,7.28
MY_N12131514587,16.45,9.33,6.96
MY_N11875484223,8.61,5.98,3.44
MY_N11875484224,26.94,50.98,5.62
MY_N12135375724,2.7,4.51,3.78
MY_N12135375710,10.77,13.14,2.86
MY_N12135373696,12.9,25.44,7.22
MY_N12135375711,24.1,13.73,16.88
MY_N13335389686,19.71,19.02,5.94
MY_N2669688740,3.86,8.06,4.04
MY_N13335390186,23.36,80.03,12.52
MY_N11875484219,13.95,8.47,11.07
MY_N11875484217,11.56,3.26,9.76
MY_N11806207720,0.31,0.78,0.47
MY_N3458624509,11.02,6.2,8.92
MY_N11875484218,4.67,10.78,7.9
MY_N3458624508,7.46,3.54,3.97
MY_N4798173661,8.78,0.68,3.49
MY_N4822914443,4.04,5.84,2.2
MY_N7033248825,22.85,32.8,10.61
MY_N11521176120,1.02,0.33,3.13
MY_N3269166213,2.86,9.91,5.91
MY_N10125233295,2.88,3.41,3.55
MY_N10125233294,0.15,0.0,0.27
MY_N10251772774,4.96,8.37,9.86
MY_N10137863759,11.5,6.69,9.59
MY_N10263911645,9.01,5.93,16.05
MY_N10264085957,3.14,3.32,4.28
MY_N10264190520,0.32,1.56,4.35
MY_N10179178545,1.76,0.0,1.96
MY_N12462362562,3.37,8.08,5.22
MY_N12462421365,8.34,6.0,4.39
MY_N12462360044,3.35,10.99,5.21
MY_N12462366356,1.3,2.96,3.96
MY_N12462397948,5.22,6.55,0.43
MY_N12462360043,2.68,3.64,3.63
MY_N12462360045,4.17,1.64,1.54
MY_N12462362561,0.0,0.24,3.41
MY_N12462366355,3.58,1.82,1.15
MY_N12462397947,1.32,2.72,1.86
MY_N12462445716,10.26,0.84,3.2
MY_N12462366354,5.19,0.28,0.84
MY_N12462397946,3.09,0.69,4.74
MY_N12462445717,9.81,2.98,5.96
MY_N12462362564,1.48,2.73,2.46
MY_N12462388214,5.38,1.28,10.94
MY_N12462362563,1.18,0.0,0.69
MY_N13759043085,3.45,0.0,1.91
MY_W1496819391,19.39,47.38,3.48
MY_W1183622030,19.69,9.28,11.86
MY_N5202494203,2.05,1.56,1.32
MY_N13719964947,0.0,0.0,2.23
MY_N13719053843,2.02,9.28,1.28
MY_N5115603531,9.81,18.0,3.57
MY_N5159160718,20.02,2.87,0.37
MY_N5188734187,28.38,20.53,10.48
MY_N1662637919,12.17,23.65,5.89
MY_N1662564012,17.94,13.6,5.88
MY_N9935128396,1.39,6.24,4.36
MY_N1648142937,1.77,0.12,1.95
MY_N1648142940,1.19,4.39,4.46
MY_N1648142939,0.84,0.0,4.58
MY_N13531662855,0.84,1.39,3.9
MY_N4824910112,3.18,2.31,3.18
MY_N13809732758,13.73,6.52,2.84
MY_N4405530070,5.4,19.12,3.89
MY_N6727065189,5.89,2.76,2.99
MY_N13809732305,5.15,15.5,7.37
MY_N13771359079,4.73,8.56,1.48
MY_N9983597281,5.44,7.6,9.6
MY_N9983597288,0.79,0.91,2.63
MY_N9919057003,8.83,7.31,5.04
MY_N1988043288,1.0,0.42,1.8
MY_N9919057004,4.76,4.42,4.24
MY_N9919057005,0.0,0.18,2.43
MY_N1988043289,1.15,1.15,2.87
MY_N9968171086,9.08,18.21,6.39
MY_N13807032941,2.33,1.7,9.71
MY_N7852427612,0.0,0.0,0.97
MY_N1663990392,0.48,0.0,0.0
MY_N7853152961,2.96,0.24,1.17
MY_N11950354037,0.0,1.26,6.01
MY_N8267445980,0.29,0.35,4.89
MY_N1662840937,1.86,0.12,1.02
